用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,下午3:47 - 2016年2月6日,喜欢,Geoff Dalgas 的 Twitter: “@Nick_Craver hhhahaahhhaahhHahhHahahhHHahhhahhahahhahahhhahahahahaahhahhahhahahahahahhaahhahhahahhhahaaahhaahahahhaahahh I feel your pain”,0,3,1,https://twitter.com/superdalgas/status/696118151759708160
Nick Craver,Twitter,上午12:59 - 2016年4月29日,喜欢,"Nicky van Vroenhoven 的 Twitter: “Don&#39;t just say it&#39;s bad, do something about it! Want to get something fixed/improved in #SQLServer Management Studio…https://t.co/gfe77cLTsB”",0,11,1,https://twitter.com/nickyvv/status/725957659585708032
Nick Craver,Twitter,上午8:16 - 2016年2月6日,喜欢,Jay Hanlon 的 Twitter: “@courtnycotten @df07 -1 for making David look tough.  +1 for making him look like @Nick_Craver.”,0,3,3,https://twitter.com/jayhanlon/status/696004499064909826
Nick Craver,Twitter,上午11:25 - 2016年1月31日,喜欢,Shog9 的 Twitter: “@Nick_Craver Some ideas here: https://t.co/Dm8LB1Yv1Z - bricklink seems to be the most popular option.”,0,2,2,https://twitter.com/shog9/status/693877737392439296
Nick Craver,Twitter,下午6:11 - 2015年12月15日,喜欢,Russell T🍕🍍🇨🇦🥓 的 Twitter: “@ErrataRob Maybe it was labeled as outsourcing final QA”,0,2,2,https://twitter.com/mrmeritology/status/676947720377081858
Nick Craver,Twitter,下午2:24 - 2015年10月18日,喜欢,"Elise Craver 的 Twitter: “Watching great football, great company, overlooking the ocean, sea breeze...I can see why people fall in love with San Diego.”",0,3,3,https://twitter.com/e_craver/status/655857121561460736
Nick Craver,Twitter,下午9:02 - 2015年9月20日,喜欢,Scott Hanselman 的 Twitter: “Found a whole box of old business cards! I&#39;m gonna use them this week! https://t.co/b82Jn8Q44g”,0,15,13,https://twitter.com/shanselman/status/645810361166372864
Nick Craver,Twitter,上午10:09 - 2015年7月7日,喜欢,ERSATZ DEVLOPER 的 Twitter: “When your wife sends you ultrasound pics from 5K miles away and you break down in the middle of a room full of 1500 people.”,0,17,4,https://twitter.com/jasonpunyon/status/618466885122830337
Nick Craver,Twitter,下午7:38 - 2016年1月29日,喜欢,Barry Dorrans 的 Twitter: “So @davidfowl&#39;s music request in the car today was Bieber. It took all my self control to not push him out at speed into the road.”,0,11,4,https://twitter.com/blowdart/status/693276952107491329
Nick Craver,Twitter,上午9:14 - 2015年12月7日,喜欢,David Fowler 的 Twitter: “@jonskeet it&#39;ll just make them sad”,0,3,3,https://twitter.com/davidfowl/status/673913595634159616
